source_scope,emi,method,frequency,staleness_s,population,classification,machine_atol_wm2,quantization_atol_wm2,deadband_atol_wm2,sample_count,mean_wm2,median_wm2,std_wm2,mae_wm2,rmse_wm2,p01_wm2,p05_wm2,p50_wm2,p95_wm2,p99_wm2,max_abs_wm2,proportion_below_machine,proportion_below_quantization,proportion_below_deadband
historical_xlsx,EMI03,aligned_backward,1min,60,daylight_provisional,measured,1.58323132382e-10,1.5,3,19578,-12.2384308918,39,183.194852881,103.402186127,183.603195269,-721,-520,39,122,202.23,1080,0.00572070691593,0.0157319440188,0.0311063438553
historical_xlsx,EMI03,aligned_backward,1min,120,all,measured,1.58323132382e-10,1.5,3,22303,-10.0961754024,34,174.009692862,95.2170111644,174.302340684,-714,-478.9,34,119,199.98,1080,0.0143030085639,0.0273057436219,0.0466753351567
historical_xlsx,EMI03,aligned_backward,1min,120,active_components,measured,1.58323132382e-10,1.5,3,21545,-10.3279183105,36,177.031714672,98.3452773265,177.332720885,-715.56,-493.8,36,120,201.56,1080,0.00482710605709,0.0145277326526,0.0308656300766
historical_xlsx,EMI03,aligned_backward,1min,120,night_flat,measured,1.58323132382e-10,1.5,3,758,-3.5092348285,-1,9.01504425377,6.30079155673,9.67397291597,-24,-19,-1,11,21.43,82,0.28364116095,0.390501319261,0.496042216359
historical_xlsx,EMI03,aligned_backward,1min,120,daylight_provisional,measured,1.58323132382e-10,1.5,3,22164,-10.1589063346,34,174.552659527,95.8134813211,174.848032091,-714,-480.85,34,119,200,1080,0.00825663237683,0.0212957949829,0.0407417433676
historical_xlsx,EMI03,aligned_backward,1min,300,all,measured,1.58323132382e-10,1.5,3,25702,-8.3739786787,27,164.87633084,86.8533966228,165.088848776,-706.99,-418,27,115,200.99,1080,0.0253287681892,0.0443545249397,0.0725235390242
historical_xlsx,EMI03,aligned_backward,1min,300,active_components,measured,1.58323132382e-10,1.5,3,24329,-8.66246043816,30,169.450405768,91.4675901188,169.671677766,-709,-443.6,30,117,205.72,1080,0.00686423609684,0.0207982243413,0.0437749188212
historical_xlsx,EMI03,aligned_backward,1min,300,night_flat,measured,1.58323132382e-10,1.5,3,1373,-3.262199563,-1,7.69216588434,5.09176984705,8.35531938235,-24,-18,-1,7,19,82,0.352512745812,0.461762563729,0.581937363438
historical_xlsx,EMI03,aligned_backward,1min,300,daylight_provisional,measured,1.58323132382e-10,1.5,3,25383,-8.4787062207,28,165.906456238,87.9443328212,166.122968553,-707.18,-423.9,28,115,202,1080,0.0131978095576,0.0324232754206,0.0609069061971
historical_xlsx,EMI03,aligned_backward,1min,900,all,measured,1.58323132382e-10,1.5,3,32277,-7.77832512315,16,151.52297037,75.3991696874,151.72248644,-693.24,-310.2,16,109,200,1080,0.05344362859,0.0846423149611,0.12863649038
historical_xlsx,EMI03,aligned_backward,1min,900,active_components,measured,1.58323132382e-10,1.5,3,29412,-8.33210934313,22,158.709597582,82.4368285054,158.928161163,-698.89,-358,22,112,208,1080,0.0108799129607,0.0327077383381,0.0681014551884
historical_xlsx,EMI03,aligned_backward,1min,900,night_flat,measured,1.58323132382e-10,1.5,3,2865,-2.09319371728,0,5.95814714272,3.15078534031,6.31513874055,-21,-15,0,2,14.36,82,0.490401396161,0.61780104712,0.750087260035
historical_xlsx,EMI03,aligned_backward,1min,900,daylight_provisional,measured,1.58323132382e-10,1.5,3,31391,-7.99745149884,18,153.640726489,77.5268070466,153.848731118,-695,-324,18,110,202,1080,0.026822974738,0.0588703768596,0.104074416234
historical_xlsx,EMI04,direct_coincident,,,all,measured,5.70565816815e-12,1.5,3,81256,131.368231269,77,155.930317596,134.049559417,203.891824584,-25,9,77,457,776,1017,0.00350743329723,0.00686718519248,0.0140174264054
historical_xlsx,EMI04,direct_coincident,,,active_components,measured,5.70565816815e-12,1.5,3,80791,132.120954067,77,156.060766547,134.799940587,204.477160971,-26,11,77,458,776,1017,0.00141104826033,0.00413412385043,0.010409575324
historical_xlsx,EMI04,direct_coincident,,,night_flat,measured,5.70565816815e-12,1.5,3,465,0.587096774194,0,6.39702931402,3.6752688172,6.42391365654,-16.36,-9,0,12,24.36,37,0.367741935484,0.481720430108,0.640860215054
historical_xlsx,EMI04,direct_coincident,,,daylight_provisional,measured,5.70565816815e-12,1.5,3,81172,131.504176317,77,155.953672503,134.18827921,203.997294972,-25,10,77,457.45,776,1017,0.00247622332824,0.00583945202779,0.0129970925935
historical_xlsx,EMI04,aligned_backward,1min,60,all,measured,5.70565816815e-12,1.5,3,42243,123.888999361,68,161.220115179,126.12117984,203.323411591,-20,2,68,463,788,1017,0.00537367137751,0.0115758823947,0.0248798617522
historical_xlsx,EMI04,aligned_backward,1min,60,active_components,measured,5.70565816815e-12,1.5,3,41731,125.398648487,69,161.623869948,127.620354173,204.565628538,-20,5,69,464,788,1017,0.00208478109798,0.00651793630634,0.0178284728379
historical_xlsx,EMI04,aligned_backward,1min,60,night_flat,measured,5.70565816815e-12,1.5,3,512,0.84375,0,6.46255742238,3.9296875,6.51740458311,-12.89,-8,0,12.45,23.89,37,0.2734375,0.423828125,0.599609375
historical_xlsx,EMI04,aligned_backward,1min,60,daylight_provisional,measured,5.70565816815e-12,1.5,3,42179,124.076981436,68,161.270083865,126.312548899,203.477608773,-20,2,68,463,788,1017,0.00386448232533,0.0100761042225,0.0234002702767
historical_xlsx,EMI04,aligned_backward,1min,120,all,measured,5.70565816815e-12,1.5,3,48016,117.485588137,63,161.353013433,119.820934688,199.593733278,-20,-1,63,462,789,1017,0.00880956347884,0.0180773075641,0.0355714761746
historical_xlsx,EMI04,aligned_backward,1min,120,active_components,measured,5.70565816815e-12,1.5,3,47156,119.611056917,64,162.039174612,121.942722029,201.403820832,-21,1,64,463,789,1017,0.00324455000424,0.00962761896683,0.024302315718
historical_xlsx,EMI04,aligned_backward,1min,120,night_flat,measured,5.70565816815e-12,1.5,3,860,0.940697674419,0,6.08868332479,3.47790697674,6.16092336782,-11,-7,0,12,24.41,40,0.313953488372,0.481395348837,0.653488372093
historical_xlsx,EMI04,aligned_backward,1min,120,daylight_provisional,measured,5.70565816815e-12,1.5,3,47901,117.767645769,63,161.443741361,120.108598985,199.833180465,-20,-1,63,462,789,1017,0.00642992839398,0.0157199223398,0.033256090687
historical_xlsx,EMI04,aligned_backward,1min,300,all,measured,5.70565816815e-12,1.5,3,56197,106.359378615,55,158.13768656,108.93851985,190.577662201,-26,-3,55,454,786,1017,0.0174030642205,0.0327953449472,0.0582237485987
historical_xlsx,EMI04,aligned_backward,1min,300,active_components,measured,5.70565816815e-12,1.5,3,54548,109.548599399,57,159.424446732,112.1550011,193.434872363,-27,-2,57,457,788,1017,0.0059030578573,0.0162242428687,0.0369766077583
historical_xlsx,EMI04,aligned_backward,1min,300,night_flat,measured,5.70565816815e-12,1.5,3,1649,0.861734384475,0,4.91828160023,2.53911461492,4.99320338545,-10,-6,0,8,23,40,0.397816858702,0.580958156458,0.761067313523
historical_xlsx,EMI04,aligned_backward,1min,300,daylight_provisional,measured,5.70565816815e-12,1.5,3,55926,106.87476308,55,158.346534599,109.466402031,191.038844225,-26,-3,55,454,786,1017,0.0126417051103,0.0281085720416,0.0536601938276
historical_xlsx,EMI04,aligned_backward,1min,900,all,measured,5.70565816815e-12,1.5,3,73187,89.7769959146,43,151.335305178,92.8604396956,175.961028608,-37,-4,43,439,778,1017,0.037506661019,0.0654487818875,0.105496877861
historical_xlsx,EMI04,aligned_backward,1min,900,active_components,measured,5.70565816815e-12,1.5,3,69325,94.7351893256,46,153.986034024,97.9452578435,180.793956677,-39,-4,46,446,781,1017,0.0114388748648,0.0300468806347,0.0629354489722
historical_xlsx,EMI04,aligned_backward,1min,900,night_flat,measured,5.70565816815e-12,1.5,3,3862,0.774728120145,0,3.44574030083,1.58518902123,3.53176016752,-8,-4,0,4,15,40,0.5054375971,0.700932159503,0.869497669601
historical_xlsx,EMI04,aligned_backward,1min,900,daylight_provisional,measured,5.70565816815e-12,1.5,3,72382,90.7754552237,43,151.876426376,93.8931916775,176.936802729,-37.19,-4,43,441,778,1017,0.0268022436517,0.0550551242021,0.0955486170595
historical_xlsx,ALL,aligned_backward,1min,60,all,measured,,,,165004,51.7955807132,47,139.867156663,88.8499430317,149.149601724,-421,-125,47,237,578.97,1090,0.00812101524812,0.0218782574968,0.041617172917
historical_xlsx,ALL,aligned_backward,1min,60,active_components,measured,,,,162786,52.2886796162,48,140.291288056,89.796143403,149.71890836,-423.15,-129,48,239,578.15,1080,0.00428169498606,0.0156831668571,0.0335839691374
historical_xlsx,ALL,aligned_backward,1min,60,night_flat,measured,,,,2218,15.6055004509,0,97.5417226234,19.4053201082,98.7821810686,-20,-10,0,23.15,587.03,1090,0.289900811542,0.476555455365,0.631199278629
