emi,month,n_valid_minutes,kc_mean,kc_std,kc_p10,kc_p25,kc_p50,kc_p75,kc_p90,frac_kc_gt_1,kc_clip_count,mean_abs_delta_kc
EMI02,2025-09,20183,0.648263734547,0.373610504243,0.195344581783,0.362320484239,0.566254179861,0.959427758581,1.19805263109,0.230887380469,315,0.0544713040718
EMI02,2025-10,20879,0.641351229919,0.386502913964,0.178077067361,0.308896626421,0.559199824482,0.978455426703,1.19891857733,0.239475070645,368,0.0501409374446
EMI02,2025-11,20140,0.698235515646,0.358543584133,0.261936738856,0.422454056857,0.637340652884,0.996881998327,1.18106230849,0.247914597815,525,0.0429099811129
EMI02,2025-12,20862,0.625228021511,0.352732631433,0.197030024692,0.364213732918,0.554441064397,0.894640152765,1.13380822644,0.184737800786,302,0.0365053687204
EMI02,2026-01,20934,0.680307968507,0.329956378823,0.277512907527,0.43004624988,0.618399213022,0.957798761147,1.12960058424,0.216489920703,241,0.0454327233577
EMI02,2026-03,16,0.854776372514,0.115060060557,0.719855182183,0.761547833247,0.841938444208,0.939232770967,1.00801109255,0.125,0,0.0243023197456
EMI02,2026-05,397,0.251888278403,0.19502157302,0.139782715743,0.144517924753,0.166136295111,0.254165761044,0.586783587107,0.0100755667506,0,0.0100707456223
EMI02,2026-06,13602,0.786639142273,0.426424823286,0.24392184938,0.398145436493,0.757288837784,1.16807451639,1.3547338238,0.391045434495,721,0.0867819967243
EMI03,2025-01,11895,0.627194312393,0.354359935388,0.202320879196,0.352467986556,0.566015239453,0.888014077581,1.14801358594,0.183522488441,139,0.0481246646599
EMI03,2025-02,18821,0.616554139544,0.348422081682,0.187088878103,0.349970304041,0.558102927075,0.878093147744,1.11481497746,0.179002178418,169,0.0430406036814
EMI03,2025-03,3485,0.596626120665,0.301579709989,0.225687162067,0.402002677153,0.583453058023,0.746086097349,1.01538442019,0.105308464849,22,0.0300604167776
EMI03,2025-04,30,0,0,0,0,0,0,0,0,0,0
EMI03,2025-06,3479,0.759236706907,0.418510878057,0.232321843279,0.414300868535,0.69282813976,1.14786843197,1.38241964314,0.312446105203,181,0.0613245701479
EMI03,2025-07,20648,0.73337184623,0.392367773199,0.229520047672,0.429500953441,0.675337793991,1.08342371063,1.26778227546,0.296784192174,505,0.0775528998188
