emi,month,n_minutes,frac_clear,frac_mostly_clear,frac_partly_cloudy,frac_overcast,frac_highly_variable,frac_unknown
EMI03,2026-06,21648,0.126293422025,0.0305801921656,0.107677383592,0.148189209165,0.508407243163,0.0788525498891
EMI04,2024-12,8013,0,0,0,0,0,1
EMI04,2025-01,22568,0.0653137185395,0.0303084012761,0.109358383552,0.170684154555,0.188496986884,0.435838355193
EMI04,2025-02,20330,0.117757009346,0.0574520413182,0.196015740285,0.29104771274,0.263502213478,0.0742252828333
EMI04,2025-03,22464,0.0779469373219,0.0495904558405,0.189636752137,0.259748931624,0.286680911681,0.136396011396
EMI04,2025-04,21693,0.0925183238833,0.0478034388973,0.18139492002,0.277416678191,0.28184206887,0.119024570138
EMI04,2025-05,22383,0.152303087164,0.0332395121297,0.126256533977,0.227985524729,0.381450207747,0.0787651342537
EMI04,2025-06,21648,0.097145232816,0.0341832963784,0.179693274205,0.232631189948,0.377355875831,0.0789911308204
EMI04,2025-07,22375,0.137832402235,0.0299888268156,0.137877094972,0.15494972067,0.462212290503,0.0771396648045
EMI04,2025-08,22401,0.0640149993304,0.0303111468238,0.162983795366,0.319762510602,0.320253560109,0.102673987768
EMI04,2025-09,21718,0.0953126438899,0.039138042177,0.159222764527,0.2598305553,0.376185652454,0.0703103416521
EMI04,2025-10,22496,0.109263869132,0.0334726173542,0.150826813656,0.295030227596,0.339349217639,0.072057254623
EMI04,2025-11,21826,0.137725648309,0.057683496747,0.211582516265,0.221799688445,0.294694401173,0.0765142490608
EMI04,2025-12,22581,0.107302599531,0.0639475665382,0.217350870201,0.297551038484,0.238519108985,0.0753288162615
EMI04,2026-01,22568,0.12305033676,0.0618131868132,0.239631336406,0.210386387806,0.292759659695,0.0723590925204
EMI04,2026-02,20332,0.0813495966949,0.0319693094629,0.215669879992,0.336563053315,0.261705685619,0.0727424749164
EMI04,2026-03,22463,0.158749944353,0.0500823576548,0.191559453323,0.21960557361,0.306904687709,0.0730979833504
EMI04,2026-04,21694,0.190605697428,0.026735502904,0.0799299345441,0.241725822808,0.388125749055,0.0728772932608
EMI04,2026-05,22383,0.129160523612,0.0267613814055,0.119242282089,0.280659429031,0.365813340482,0.0783630433811
EMI04,2026-06,21648,0.142045454545,0.0233739837398,0.0976071692535,0.13964338507,0.518431263858,0.0788987435329
EMI05,2024-12,8013,0.0707600149757,0.0757519031574,0.298265318857,0.215399975041,0.180831149382,0.158991638587
EMI05,2025-01,22568,0.0951347040057,0.0451081176888,0.19102268699,0.312211981567,0.285404112017,0.0711183977313
EMI05,2025-02,20330,0,0,0,0,0,1
EMI05,2025-03,22464,0,0,0,0,0,1
EMI05,2025-04,21693,0,0,0,0,0,1
EMI05,2025-05,22383,0,0,0,0,0,1
EMI05,2025-06,21648,0,0,0,0,0,1
EMI05,2025-07,22375,0.0757541899441,0.00549720670391,0.024625698324,0.012156424581,0.258145251397,0.62382122905
EMI05,2025-08,22401,0.00178563456989,4.46408642471e-05,0,0.011026293469,0.0140618722378,0.973081558859
EMI05,2025-09,21718,0.0020259692421,0.0019338797311,0.00805783221291,0.0593516898425,0.0133529790957,0.915277649876
EMI05,2025-10,22496,0,0,0,0.0987286628734,0,0.901271337127
EMI05,2025-11,21826,0,0,0,0.000733070649684,0,0.99926692935
EMI05,2025-12,22581,0.00447278685621,0.0122226650724,0.0933971037598,0.103892653115,0.0247553252735,0.761259465923
EMI05,2026-01,22568,0.128278979085,0.0585342077278,0.209101382488,0.244682736618,0.285359801489,0.0740428925913
EMI05,2026-02,20332,0.0918748770411,0.0369860318709,0.213899272083,0.323480228212,0.264066496164,0.0696930946292
EMI05,2026-03,22463,0.16293460357,0.0489248987223,0.191737523928,0.209232960869,0.315274006143,0.0718960067667
EMI05,2026-04,21694,0.195722319535,0.0208813496819,0.0906241357057,0.22849635844,0.391214160597,0.0730616760395
EMI05,2026-05,22383,0.136934280481,0.0250189876245,0.127686190412,0.263458875039,0.372246794442,0.0746548720011
EMI05,2026-06,21648,0.133869179601,0.022034368071,0.0949741315595,0.12684774575,0.545870288248,0.0764042867701
