full_tag,site_label,sts,wb,emi,raw_parameter,canonical_parameter,parameter_class,channel_group,event_count,source_zip_count,source_csv_count,coverage_start_raw,coverage_end_raw,timestamp_shape,zero_change_count,nonzero_change_count,deadband_estimate,deadband_support,deadband_support_fraction,deadband_relative_mad,deadband_confidence,deadband_lower_anomaly_count,deadband_unresolved_reason,interarrival_p50_s,interarrival_p90_s,interarrival_p99_s,max_gap_s,active_interval_count,active_interarrival_p50_s,active_interarrival_p90_s,active_interarrival_p99_s,max_active_gap_s,max_active_gap_start_ns,max_active_gap_end_ns,flat_or_night_interval_count,flat_interarrival_p50_s,flat_interarrival_p90_s,flat_interarrival_p99_s,observed_heartbeat_candidate_s,heartbeat_support,heartbeat_support_fraction,heartbeat_coefficient_of_variation,heartbeat_confidence,heartbeat_unresolved_reason,configured_max_report_time_status,sibling_events_during_max_active_gap,abs_delta_min,abs_delta_p01,abs_delta_p05,abs_delta_p50,abs_delta_p90,abs_delta_p99,event_count_before_integrity,event_count_after_integrity,exact_duplicate_count,timestamp_conflict_count,order_violation_count
PLTS IKN / STS06 / WB06_EMI03 / MEAS / RSI DAILY ACCUM 01,PLTS IKN,STS06,WB06,EMI03,RSI DAILY ACCUM 01,RSI 01 Daily Acummulation,irradiance_accumulation,,271,1,1,2026-06-01 07:24:17.306,2026-06-30 14:38:23.957,naive,270,0,,0,0,,unresolved,0,insufficient positive deltas for a supported lower-edge cluster,16.594,38004.4576,83247.546,100640.454,0,,,,,,,0,,,,,146,0.540740741,0.59017293,unresolved,no stable repeated-value interval cluster,unknown,0,,,,,,,271,271,0,0,0
PLTS IKN / STS06 / WB06_EMI03 / MEAS / RSI DAILY ACCUM 02,PLTS IKN,STS06,WB06,EMI03,RSI DAILY ACCUM 02,RSI 02 Daily Acummulation,irradiance_accumulation,,271,1,1,2026-06-01 07:24:17.306,2026-06-30 14:38:23.957,naive,270,0,,0,0,,unresolved,0,insufficient positive deltas for a supported lower-edge cluster,16.594,38004.4576,83247.546,100640.454,0,,,,,,,0,,,,,146,0.540740741,0.590196479,unresolved,no stable repeated-value interval cluster,unknown,0,,,,,,,271,271,0,0,0
PLTS IKN / STS06 / WB06_EMI03 / MEAS / RSI DAILY ACCUM 03,PLTS IKN,STS06,WB06,EMI03,RSI DAILY ACCUM 03,RSI 03 Daily Acummulation,irradiance_accumulation,,271,1,1,2026-06-01 07:24:17.306,2026-06-30 14:38:23.957,naive,270,0,,0,0,,unresolved,0,insufficient positive deltas for a supported lower-edge cluster,16.594,38004.4576,83247.546,100640.454,0,,,,,,,0,,,,,146,0.540740741,0.590206887,unresolved,no stable repeated-value interval cluster,unknown,0,,,,,,,542,271,271,0,0
PLTS IKN / STS06 / WB06_EMI03 / MEAS / RSI MONTHLY ACCUM 01,PLTS IKN,STS06,WB06,EMI03,RSI MONTHLY ACCUM 01,RSI 01 Monthly Acummulation,irradiance_accumulation,,271,1,1,2026-06-01 07:24:17.306,2026-06-30 14:38:23.957,naive,270,0,,0,0,,unresolved,0,insufficient positive deltas for a supported lower-edge cluster,16.594,38004.4576,83247.546,100640.454,0,,,,,,,0,,,,,146,0.540740741,0.59017293,unresolved,no stable repeated-value interval cluster,unknown,0,,,,,,,271,271,0,0,0
PLTS IKN / STS06 / WB06_EMI03 / MEAS / RSI MONTHLY ACCUM 02,PLTS IKN,STS06,WB06,EMI03,RSI MONTHLY ACCUM 02,RSI 02 Monthly Acummulation,irradiance_accumulation,,271,1,1,2026-06-01 07:24:17.306,2026-06-30 14:38:23.957,naive,270,0,,0,0,,unresolved,0,insufficient positive deltas for a supported lower-edge cluster,16.594,38004.4576,83247.546,100640.454,0,,,,,,,0,,,,,146,0.540740741,0.590196479,unresolved,no stable repeated-value interval cluster,unknown,0,,,,,,,271,271,0,0,0
PLTS IKN / STS06 / WB06_EMI03 / MEAS / RSI MONTHLY ACCUM 03,PLTS IKN,STS06,WB06,EMI03,RSI MONTHLY ACCUM 03,RSI 03 Monthly Acummulation,irradiance_accumulation,,271,1,1,2026-06-01 07:24:17.306,2026-06-30 14:38:23.957,naive,270,0,,0,0,,unresolved,0,insufficient positive deltas for a supported lower-edge cluster,16.594,38004.4576,83247.546,100640.454,0,,,,,,,0,,,,,146,0.540740741,0.590206887,unresolved,no stable repeated-value interval cluster,unknown,0,,,,,,,271,271,0,0,0
PLTS IKN / STS06 / WB06_EMI03 / MEAS / RSI YEARLY ACCUM 01,PLTS IKN,STS06,WB06,EMI03,RSI YEARLY ACCUM 01,RSI 01 Yearly Acummulation,irradiance_accumulation,,271,1,1,2026-06-01 07:24:17.306,2026-06-30 14:38:23.957,naive,270,0,,0,0,,unresolved,0,insufficient positive deltas for a supported lower-edge cluster,16.594,38004.4576,83247.546,100640.454,0,,,,,,,0,,,,,146,0.540740741,0.590182753,unresolved,no stable repeated-value interval cluster,unknown,0,,,,,,,271,271,0,0,0
PLTS IKN / STS06 / WB06_EMI03 / MEAS / RSI YEARLY ACCUM 02,PLTS IKN,STS06,WB06,EMI03,RSI YEARLY ACCUM 02,RSI 02 Yearly Acummulation,irradiance_accumulation,,271,1,1,2026-06-01 07:24:17.306,2026-06-30 14:38:23.957,naive,270,0,,0,0,,unresolved,0,insufficient positive deltas for a supported lower-edge cluster,16.594,38004.4576,83247.546,100640.454,0,,,,,,,0,,,,,146,0.540740741,0.590196479,unresolved,no stable repeated-value interval cluster,unknown,0,,,,,,,271,271,0,0,0
PLTS IKN / STS06 / WB06_EMI03 / MEAS / RSI YEARLY ACCUM 03,PLTS IKN,STS06,WB06,EMI03,RSI YEARLY ACCUM 03,RSI 03 Yearly Acummulation,irradiance_accumulation,,271,1,1,2026-06-01 07:24:17.306,2026-06-30 14:38:23.957,naive,270,0,,0,0,,unresolved,0,insufficient positive deltas for a supported lower-edge cluster,16.594,38004.4576,83247.546,100640.454,0,,,,,,,0,,,,,146,0.540740741,0.590212548,unresolved,no stable repeated-value interval cluster,unknown,0,,,,,,,271,271,0,0,0
PLTS IKN / STS06 / WB06_EMI03 / MEAS / WIND DIRECTION,PLTS IKN,STS06,WB06,EMI03,WIND DIRECTION,WIND DIRECTION,meteorological,,140105,1,3,2026-06-01 00:00:01.363,2026-06-30 23:59:49.333,naive,164,139940,1,15591,0.111412034,0,high,0,,13.232,26.354,72.627,1300.493,0,,,,,,,0,,,,,154,0.93902439,0.583164024,unresolved,no stable repeated-value interval cluster,unknown,0,1,1,1,15,248,347,140105,140105,0,0,1
