source_zip,source_csv,full_tag,row_count,timestamp_shape,coverage_start_raw,coverage_end_raw,order_violation_count
trends_export_1783133085080.zip,trends_export_tmp1783133085362.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / WIND DIRECTION,281,naive,2026-06-01 07:24:17.852000,2026-06-30 14:38:24.472000,0
trends_export_1783133094694.zip,trends_export_tmp1783133095573.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / WIND SPEED,60000,naive,2026-06-01 00:01:47.935000,2026-06-06 23:38:55.080000,1
trends_export_1783133094694.zip,trends_export_tmp1783133096446.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / WIND SPEED,60000,naive,2026-06-06 23:38:58.423000,2026-06-13 02:49:21.608000,0
trends_export_1783133094694.zip,trends_export_tmp1783133097350.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / WIND SPEED,60000,naive,2026-06-13 02:49:28.248000,2026-06-19 12:08:55.160000,0
trends_export_1783133094694.zip,trends_export_tmp1783133098255.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / WIND SPEED,60000,naive,2026-06-19 12:09:05.111000,2026-06-25 13:41:52.481000,0
trends_export_1783133094694.zip,trends_export_tmp1783133099209.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / WIND SPEED,56163,naive,2026-06-25 13:41:55.778000,2026-06-30 23:59:59.299000,0
trends_export_1783133131721.zip,trends_export_tmp1783133132472.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / AMBIENT AIR HUMIDITY,49887,naive,2026-06-01 07:24:18.087000,2026-06-30 23:59:59.955000,1
trends_export_1783133144709.zip,trends_export_tmp1783133145070.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / AMBIENT AIR TEMP,9545,naive,2026-06-01 07:24:18.087000,2026-06-30 23:56:35.590000,0
trends_export_1783133150997.zip,trends_export_tmp1783133151258.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / DAILY RAINFALL,413,naive,2026-06-01 07:24:18.087000,2026-06-30 23:59:33.633000,0
trends_export_1783133157877.zip,trends_export_tmp1783133158249.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / DHI DAILY ACCUM,11533,naive,2026-06-01 07:24:18.087000,2026-06-30 23:57:05.349000,0
trends_export_1783133164336.zip,trends_export_tmp1783133164600.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / DHI MONTHLY ACCUM,579,naive,2026-06-01 07:24:18.087000,2026-06-30 16:51:09.416000,0
trends_export_1783133169942.zip,trends_export_tmp1783133170210.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / DHI YEARLY ACCUM,578,naive,2026-06-01 07:24:18.087000,2026-06-30 16:22:16.414000,0
trends_export_1783133178439.zip,trends_export_tmp1783133179255.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / DIFFUSE HORIZONTAL IRRADIANCE (DHI),31683,naive,2026-06-01 07:24:18.087000,2026-06-30 18:00:47.669000,0
trends_export_1783133188183.zip,trends_export_tmp1783133188457.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / DIRECT HORIZONTAL IRRADIANCE (DNI*cosZ),714,naive,2026-06-01 07:24:18.087000,2026-06-30 14:38:25.113000,0
trends_export_1783133202012.zip,trends_export_tmp1783133202281.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / DNI*cosZ DAILY ACCUM,363,naive,2026-06-01 07:24:18.087000,2026-06-30 14:38:25.113000,0
trends_export_1783133208025.zip,trends_export_tmp1783133208319.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / DNI*cosZ MONTHLY ACCUM,273,naive,2026-06-01 07:24:18.087000,2026-06-30 14:38:25.113000,0
trends_export_1783133214278.zip,trends_export_tmp1783133214538.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / DNI*cosZ YEARLY ACCUM,274,naive,2026-06-01 07:24:18.087000,2026-06-30 14:38:25.113000,0
trends_export_1783133220741.zip,trends_export_tmp1783133221122.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / GHI DAILY ACCUM,11610,naive,2026-06-01 07:24:18.087000,2026-06-30 23:57:05.349000,0
trends_export_1783133227281.zip,trends_export_tmp1783133227546.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / GHI MONTHLY ACCUM,603,naive,2026-06-01 07:24:18.087000,2026-06-30 16:10:00.216000,0
trends_export_1783133234907.zip,trends_export_tmp1783133235176.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / GHI YEARLY ACCUM,603,naive,2026-06-01 07:24:18.087000,2026-06-30 16:15:56.911000,0
trends_export_1783133244877.zip,trends_export_tmp1783133245467.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / GLOBAL HORIZONTAL IRRADIANCE (GHI),32023,naive,2026-06-01 07:24:18.087000,2026-06-30 18:00:57.558000,0
trends_export_1783133253648.zip,trends_export_tmp1783133254217.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / GLOBAL INCLINED IRRADIANCE (POA),32510,naive,2026-06-01 07:24:18.087000,2026-06-30 18:01:20.647000,1
trends_export_1783133261794.zip,trends_export_tmp1783133262157.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / IN-PLANE REAR-SIDE IRRADIANCE (RSI) 01,9374,naive,2026-06-01 07:24:18.087000,2026-06-30 16:28:03.064000,1
trends_export_1783133269396.zip,trends_export_tmp1783133269770.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / IN-PLANE REAR-SIDE IRRADIANCE (RSI) 02,9152,naive,2026-06-01 07:24:18.087000,2026-06-30 16:26:53.766000,0
trends_export_1783133275465.zip,trends_export_tmp1783133275843.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / IN-PLANE REAR-SIDE IRRADIANCE (RSI) 03,9514,naive,2026-06-01 07:24:18.087000,2026-06-30 16:28:03.064000,0
trends_export_1783133283152.zip,trends_export_tmp1783133283519.csv,PLTS IKN / STS05 / WB05_EMI02 / MEAS / PEAK OF SUN HOURS,7890,naive,2026-06-01 07:24:18.087000,2026-06-30 23:57:05.349000,0
